Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
[GPU1] Epoch 4960 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4960 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4960 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4960 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4961 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4961 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4961 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4961 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4962 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4962 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4962 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4962 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4963 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4963 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4963 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4963 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4964 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4964 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4964 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4964 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4965 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4965 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4965 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4965 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4966 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4966 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4966 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4966 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4967 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4967 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4967 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4967 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4968 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4968 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4968 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4968 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4969 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4969 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4969 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4969 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4970 | Batchsize: 32 | Steps: 16[GPU0] Epoch 4970 | Batchsize: 32 | Steps: 16

[GPU3] Epoch 4970 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4970 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4971 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4971 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4971 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4971 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4972 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4972 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4972 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4972 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4973 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4973 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4973 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4973 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4974 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4974 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4974 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4974 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4975 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4975 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4975 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4975 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4976 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4976 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4976 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4976 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4977 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4977 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4977 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4977 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4978 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4978 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4978 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4978 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4979 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4979 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4979 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4979 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4980 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4980 | Batchsize: 32 | Steps: 16
